permReq(read=1, addr=0x1ffff61c1e0, proc=3): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff61c1e0, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff61c1e0, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff61c1e0, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff61c1e0, proc=3): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff61c0e0, proc=3): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff61c0e0, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff61c0e0, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff61c0e0, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff61c0e0, proc=3): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff61c170, proc=3): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff61c170, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff61c170, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff61c170, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff61c170, proc=3): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x15555562070, proc=3): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x15555562070, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x15555562070, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x15555562070, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x15555562070, proc=3): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff5cde10, proc=3): SHARED -> SHARED
permReq(read=1, addr=0x1ffff61c160, proc=3): INVALID -> INVALID_SHARED
busReq(req=2, addr=0x1ffff6120a0, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff6120a0, proc=2): SHARED -> INVALID
busReq(req=2, addr=0x1ffff6120a0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff6120a0, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8b10d0, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff8b10d0, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8b10d0, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffff8b10d0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff8b10d0, proc=0): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff80, proc=0): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8c3330, proc=0): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffffdfff60, proc=0): MODIFIED -> INVALID
busReq(req=2, addr=0x1ffffdfff60, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffffdfff60, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffffdfff60, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff60, proc=1): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff8c3330, proc=1): MODIFIED -> MODIFIED
